   0.1  0.0351  0.0107
   0.5  0.0664  0.0217
   2.0  0.2198  0.1378
   4.0  0.3119  0.1754
   6.0  0.3868  0.2238
  10.0  0.4899  0.2803
  14.0  0.5261  0.3000
  18.0  0.6083  0.3189
  24.0  0.6117  0.3256
  32.0  0.6961  0.3581
