   0.730  -3.0  0.6252  0.0579
   0.540  -2.0  0.7164  0.2855
   0.310  -1.0  0.7730  0.3228
   0.150   0.0  0.7407  0.3389
   0.050   1.0  0.6028  0.3061
   0.020   2.0  0.3935  0.2352
   0.007   3.0  0.2417  0.1494
   0.003   4.0  0.1541  0.0917
